Series,Week,Player,Score,Points,Rank,Points without double points Friday,Score if double score Friday,Rank without double points Friday,Rank based on Score,Rank if Double Score Friday,Change in winner with no double points Friday?,Change in winner based on Score?,Change in winner if Double Score Friday?
4,15,Josie Lawrence,22,16,3,13.0,29,3,3,3,False,False,False
4,15,Raj Bisram,15,8,4,7.0,20,4,4,4,False,False,False
4,16,Andrew Hunter Murray,46,22,1,18.0,58,1,1,1,False,False,False
4,16,Zoe Lyons,36,18,2,15.0,42,2,2,2,False,False,False
4,16,Kate Robbins,20,13,3,11.0,25,3,4,3,False,True,False
4,16,Kae Kurd,21,10,4,9.0,25,4,3,3,False,True,True
4,17,Marcus Brigstocke,40,20,1,16.0,48,1,1,1,False,False,False
4,17,Tom Rosenthal,39,19,2,16.0,47,1,2,2,True,False,False
4,17,Sindhu Vee,25,13,3,11.0,32,3,3,3,False,False,False
4,17,Anna Richardson,17,9,4,8.0,21,4,4,4,False,False,False
4,18,Colin Murray,39,23,1,19.0,47,1,1,1,False,False,False
4,18,Sally Phillips,36,18,2,15.0,43,2,2,2,False,False,False
4,18,Nathan Caton,25,12,3,10.0,29,3,3,3,False,False,False
4,18,Ronni Ancona,19,9,4,8.0,20,4,4,4,False,False,False
4,19,Mae Martin,42,22,1,18.0,52,1,1,1,False,False,False
4,19,Nihal Arthanayake,42,19,2,16.0,50,2,1,2,False,True,False
4,19,Jake Humphrey,35,18,3,16.0,43,2,3,3,True,False,False
4,19,Patsy Kensit,10,6,4,5.0,11,4,4,4,False,False,False
4,20,Shaun Williamson,59,23,1,19.0,70,1,1,1,False,False,False
4,20,Glenn Moore,38,16,2,13.0,44,2,2,2,False,False,False
4,20,Kiri Pritchard-McLean,36,15,3,13.0,41,2,3,3,True,False,False
4,20,Mina Anwar,23,11,4,10.0,28,4,4,4,False,False,False
5,1,Olga Koch,41,20,1,17.0,47,1,1,2,False,False,True
5,1,Andrew Maxwell,39,18,2,14.0,50,2,2,1,False,False,True
5,1,Reeta Chakrabarti,33,16,3,14.0,39,2,3,3,True,False,False
5,1,Gareth Thomas,31,13,4,12.0,37,4,4,4,False,False,False
5,2,Hugh Fearnley-Whittingstall,48,22,1,18.0,59,1,1,1,False,False,False
5,2,Suzi Perry,46,19,2,16.0,57,2,2,2,False,False,False
5,2,Jodie Kidd,25,12,3,10.0,32,3,3,3,False,False,False
